!DOCTYPE/Slow,lewi,internationallyagreed
"as/G- WANTS,adop,Febraury
Atlantic Richfield/ARCO,Halcon,retreated
Atlantic Richfield's/U.S benchmark,intermediate,,arco
Atlantic./worse.,vibrant,tarnish
Atlas/scaleddown,memorandum,ATLC.MN
Atoka/NUDY.O,ND Resources,Recoveri
Attack/sovereignti,awful,squares
Attaka/relect,L.A,ANS
Attempt/Lloyd Shipping,Trombetas,Matanzas
Attempts/Kinnear,Jamail,overturn
Attornei/Kinnear,Jamail,ICC
Attribut/Wimpei,george,wimpey
Atwood/Diversifi,DIVERSIFIED INDUSTRIES,Plume
Aubrei/scof,cares,Mellon
Aubrei G./needed.,gentli,ordinarili
Auckland/Entregrowth Interational,Suav,suave
Auction/Tektronix Inc,registraion,Shipper
Aug/Stocks,HIGHLIGHTS,CENTER
AugJuly/jaw,branded,tuberculosi
AugSeptOct/Fob,Souffl,Granier
Augenthal/announcment,inadequate.,Shelton
Augenthaler/announcment,inadequate.,Shelton
August/tdy,salary,MARBLE FINANCIAL
August 12/Prospect Group,BRINKMANNBRIK.O,Brinkmann
August 15-November/U.S barley,bous,shiment
August 1985./Citibankled,innov,haunt
Augusto/humanrights,economic.,temper
Aurora/FCBN,BUYS EATON,ETN
Austec/Melbourne,RyanMcFarlnad,COBOL and
Austec International/Austec,Melbourne,RyanMcFarlnad
Austin/Frostex,Kraft,frostex
Austral/Blanca increased,Aires,Blanca
Australasia/advance,Extraordianri,06860101
Australia/Reuter Ramon,Condon,achieve
Australia Bank/illustr,eyes,Regent
Australia M-3/endFebruary The,Save Bank,Mutual Royal
Australian/Condon,Reuter Ramon,Lorenz Finanz
Australian Minister/influential,cairns,Duffi told
Australian dlrs/nonunderwritten,Fielder,Fielder Ltd>,
Austria/slows,Czechoslovakia,raini
Austwhim/CRAA.S,whim,Croesus
Author/Water,codevelopment,rider
Author director/shareholders,,Indonesia had,-billion-yen
Auto/Savannah,metropoliutan,Daytona
Autom/TEXAS AIR,SystemOn Corp,,Corp Eastern
Automat/BASIX CORP,Cubic,toll
Automat Toll/Automat,BASIX CORP,Cubic
Automobil/Continent Gummi-Werke,reviews,ADAC
Automot/lex,Volvo,Vehicl Leasing
Autumn/stagnating,realism,further.
Auxton/auxt,CSN,CINCINNATI BELL
Availabl/USSR COARSE,CORN SUPPLY/DEMAND,COARSE GRAIN
Available/TotalY,mediumshort,1.
Avco/Prime-,profil,Prime- from
Avco Financial/Prime-,Avco,profil
Averag/scof,Mellon,panic.
Averag price/TotalY,mediumshort,1.
Avg/ENTERPRISES,MARSH AND,cce
Avg shrs/tmg,uis,UNISYS CORP
AvgPric/TotalY,mediumshort,1.
AvgPrice/TotalY,mediumshort,1.
Avge/TotalY,1.,mediumshort
Aviation/DFC,Duesseldorf,whollygovernmentowned
Avnet/Anvet Inc,avt,assembl
Avnet Inc/avt,Avnet,businesses
Avondal/STN,victor,FLD
Axelgard/unduli,CDI,Hoel
Axilrod/Reserv Chairman,revives,Co International
Axle/products,,railroad,ai
Ay/xminus,USDAprojected,Accumul
Ay Exp-E/xminus,USDAprojected,Accumul
Ay Expd-E/xminus,USDAprojected,Accumul
Aziz/Saudi oil,Bush,Bakr
Azpur/S.A.PDVSA,BCV,PDVSA
Azpurua/February public,democratica,Tripl
B/Reuter Ramon,internationalis,Elders
B preferred/preferreds,Elders,happy
B-/DOWNGRADES MICHIGAN,underwrot,ram
B.A.T/AMATIL PROPOSES,BTI.L,Amatil Ltd
B.C/voted,Oy,MTBE
B.C./Linar,physicals,balanced
B.F/Petromont,liquids,IPIPF.O
B.F GOODRICH/Petromont,liquids,IPIPF.O
B.S.C/denko,showa,casting
B.V./Louisiana Land,LA LAND,Qa
BA/STARTS ARGOSYSTEMS,boe,ARGOSystem
BAB.L/airways,British Airways,01000101
BAGS/COFFEE,35.2,CROP
BAII/Stateowned Bank,Arab interests,wholli
BAKER COMMUNICATIONS/bakr,00420101,inc
BAKER HUGHES'/respect Drilling,individual,steepest
BAKERIESIBCBID/Bakeri,Braun,OVERSUBSCRIBED
BALL CORP/Ball,Verac,verac
BALLADUR HAS/HAD CONTACT,Stoltenberg to,Seven leading
BALLADUR URGES/RESPECT,Louvre,G- TO
BANC/Banc,PROFESSOR LIFTS,Ben
BANC ONE/Bloomington,Banc One,indiana
BANCORP/ARBC.O,Suburban,NAPA VALLEY
BANCORPORATION/Colson,Loan 1.1,WASHINGTON
BANCTEXAS GROUP/Juli 17,,Number,btx
BANK/PEBW.O,SOUTHOLD SAVINGS,reclassifies
BANK AND/CCBT.O,TRUST,CAPE COD
BANK CAN/expropri,donors,plantations
BANK CUTS/immediately,effective,PRIME
BANK DALLAS/TODAY,FIRST REPUBLIC,RATE TO
BANK FOR/FAMB.O,FIRST AMERICAN,went
BANK OF/comminuiqu,meriden,restatement
BANKEAST CORP/BENH.O,mlnv,Note 1986
BANKER/Swiss National,INTEREST RATE,DIFFERENTIALS TOO
BANKERS TRUST/overdue,commiss Foreign,versi
BANKING/UNITED FINANCIAL,CENTER,Cornerston
BANKING CENTER/tbcx,Burgdoff,Realtor
BANKS/ffbk,FIRST FLORIDA,MARINE MIDLAND
BANKS OF/boma,Loan 1.45,MIDAMERICA
BANKSHARES/cabk,fcola,COLONIAL AMERICAN
BANPONCE CORP/st,bdep,19000408
BAPYZ.O/BURNHAM AMERICAN,PROPOERTIES,ND
BARCLAYSNIGERIA/signed,SAY,nigeria
BARLEY/mediumshort,xminus,TotalY
BARNETT BANKS/Barnett Banks,bbf,Home Loan
BARRICINI/FOODS INC>,19000618,three
BASIN PIPELINE/washed,texasokla,affected
BASIX/Automat,Cubic,toll
BASIX CORP/Automat,Cubic,toll
BASIX Corp/Automat,BASIX CORP,Cubic
BASS GROUP/DR,CUTS NATIONAL,Bass family
BASSLED GROUP/howell,co,INVESTMENT
BASTIAN TECHNOLOGIES/NAS,MULLING,Bastian Technologies
BATON/BROADCASTING INC>,00330101,feb
BAXTER TRAVENOL/LABS,00900101,Caremark
BAYBANKS INC/bbnk,calcul,cumul
BB/Bplus,Caesar World,STAYS ON
BBB/Burlington Industries,tranches,companion
BBC/boveri,infallible.,cie
BBC AG/Realistically,Leutwiler,contradict
BBCZ.Z/boveri,cie,BBC
BBLS/UP 2.85,API SAYS,DISTILLATE STOCKS
BBRC.O/BURRBROWN CORP,00160101,00130101
BCI/commerciale,Euar,Baring
BCIL.L/BLUE CIRCLE,Circl,capitalis
BCMP.O/Robert Half,R.I Boothe,Providence
BCV/S.A.PDVSA,PDVSA,requri
BCW/improves,bcwagain,PLANS OFFER
BDGT.O/resutl,mlln,BUDGET RENT
BEARINGS INC/ber,Dilut,00760101
BECOR/Winter,PLANS OFFER,improves
BECOR WESTERN/bcwagain,adjourn The,Gear
BEHIND/fodder,Cultiv,TWO WEEKS
BEING/TOLD BUYER,SAID IT,INTERESTED
BEL/midsiezed,tiecommunications,tie
BELB.BR/Paues President,Boart,finalise
BELGIAN ONE-DAY/trickl,electrician,Sabena
BELGIUM TO/ISSUE GOLD,SOURCES,WARRANTS
BELL ATLANTIC/CORP,Nine,bel
BELLSOUTH CORP/bls,00870101,threefortwo
BELT/RAIN (MM),CENTIGRADE,ROSA--
BEMIS CO/bms,00610101,00500101
BEN AND/JERRYS HOMEMADE,BJIC.O,Class
BENCH CRAFT/threefortwo,Share,SOFA.O
BENH.O/mlnv,BANKEAST CORP,Note 1986
BERKEY INC/bky,00320101,th
BERKSHIRE GAS/BGAS.O,payout,Record
BETHLEHEM STEEL/flatrolled,SHEET,RAISING STEEL
BETZ LABORATORIES/quarterly,betz,Pai May
BEVERLY ENTERPRISES/bev,regular,Pai July
BFCS.O/equals.,Cent Savings,Spiller
BFI/suits,BrowningFerris Industries,Albani
BFIMSOVAC/banqu,Financ Immobilier,SOVAC
BGAS.O/Pai July,BERKSHIRE GAS,payout
BHA GROUP/BHAG.O,00180101,march
BHAG.O/00150101,00180101,BHA GROUP
BID/intellig,Pa,Things
BII/aug,Enterpris,00500101
BII ENTERPRISES/BII,BII.TO,aug
BII.TO/BII ENTERPRISES,BII,aug
BIL/FEDERATED,slowing,SEARS
BILL VERY/language,dangerous,lobby
BILLION/235.75,AFTER,FALLS TWO
BILLION DLRS/UNDERLYING,RISE,official
BILLION FRANC/TENDER,TBILL,SETS
BILLS AT/STOP,-YEAR,awarded
BILZERIAN PREPARED/agrreement,Cheadle,nominal.
BILZERIAN SAYS/npak,merger,signs
BIMP/Small,bimp,BTP
BIOTECH ELECTRONICS/ION.TO,REUTER,Note
BIRDSBORO/00240101,termin,realiz
BJIC.O/BEN AND,JERRYS HOMEMADE,Class
BK/Stearn Cos,Flores,Flore
BKNE.O/restatement,Conif,NOTEFirst
BKNE.OSTAKE/FICR.O,lazere,Lazer
BKY/warner,PCT BERKEY,Berkei Series
BLAS.O/blasius,Fidel International,Blasiu
BLC/KOAAM,Jacor Communications,Jacor
BLLA.S/Bell previously,onesentence,STCH.L
BLOUNT INC/blt,Backlog,00160101
BLUE CIRCLE/BCIL.L,Circl,capitalis
BNP/multi,BULP.PA,Morgan Guaranty
BOLT BERANEK/bbn,NEWMAN,Share
BOMB THREATS,/Bavadra,Watersid,Nadi
BONA.S/memorandum,Cebu,sq
BOND/ZEROCOUPON,REPACKAGES DANISH,Lives
BOND DEBENTURE/TAX FREE,lord,INCOME FUND
BOR/Burke,comment GAF,AV
BOST.O/BOSTON DIGITAL,unreal,nil
BOSTON DIGITAL/unreal,BOST.O,Year
BOSTON FIVE/equals.,Cent Savings,Spiller
BOTs/mixed,oversubscrib,endMarch
BOWER/INDUSTRIES INC>,00180101,19000619
BP/OPECled,MAY BUY,todai Shell
BP CUTS/NORTH SEA,propane,Sea LPG
BP.L/Standard shares,PanCanadian,Nichol
BPCC/Rumour,Carpent,Pergamon
BPCL.L/unrealistic,Hold Ltd>,Rumour
BPD/OPEC May,Thirdly,LONDON
BPI/bpii,bpi,CA
BRANCH CORP/cxt,bnch,00780101
BRAND COMPANIES/Brand Companies,bran,Brand
BRANDS/INTERNATIONAL CONSUMER,QTR,ICBI.O
BRAZIL/MEAL in,Albra,PT
BRBK.O/Oper net,BRENTON BANKS,00270101
BREAD/SUNFLOWERSEED,argentin,MAIZE
BRENT TO/PROPOSES,BUY LONRHO,Park
BRENTON BANKS/Oper net,BRBK.O,00270101
BRFD.L/S.And W.,w BERISFORD,Berisford
BRIDGESTONE CORP/BRIT.T,december,Current
BRIGHT/currrent,ITALIAN ECONOMIC,OUTLOOK LESS
BRINKMANNBRIK.O/August 12,Prospect Group,Brinkmann
BRISTOLMYERS CO/bmy,Share,00700101
BRIT.T/BRIDGESTONE CORP,december,Current
BRITISH LAND/bla,Compani is,Land
BRK/EXTENDS BROCKWAY,owensillinois,Brockwai have
BROADCASTING INC>/BATON,00310101,feb
BROCKWAY INC/brk,threefortwo,00700101
BROKER BOOSTS/zond,zondervan,Minn. broker
BROOK/FIRST OAK,FOBBA.O,Net 2,133,000
BROOKLYN UNION/Transcontinent,formula Brooklyn,SC
BROOKLYN UNION'S/Gulf of,Ga Co's,drilling
BROOKLYN UNION<BU>/NCNG,unwit,PNY
BROTHERS/01890101,HOLDINGS,SHEARSON LEHMAN
BROWN DISC/Brown Disc,Genevar,Frenchbased
BROWN GROUP/bg,Junee,2
BRSS.O/contorl,meg,bylaws
BRUCA.O/robert,bruce,ROBERT BRUCE
BRYA.WE/UMAR.L,Delawarebased,Ogelbay
BRYW.WE/intention,Triton.,clearanc
BS/Bradford,runup,IAD
BSCO.O/BURNHAM SERVICE,00360101,00450101
BSD BANCORP/bsd,Asset,seven
BSN/nelect,HAS PURCHASED,mgs
BSN Corp/macgregor,nelect,mgs
BT/nonunderwritten,Australian dlrs,publicly
BTEK.O/ecuadorian,baltek,Baltek Corp
BTI.L/B.A.T,AMATIL PROPOSES,Amatil Ltd
BTP/Small,bimp,BIMP
BTU/NCNG,unwit,PNY
BTX/isomer,orthoxylen,hydrodealkyl
BUD.N/Reuter Ramon,anheuserbusch,Melbournebased
BUDGET/incomes,Barend,minibudget
BUDGET RENT/resutl,mlln,BDGT.O
BUFFET/PAMX.O,PANCHOS MEXICAN,Fiscal
BULCAN CORP/bul,five,seven
BULLETINS/METAL,bulletin,zinc
BULP.PA/Morgan Guaranty,BNP,multi
BUR/STN,victor,Samjen Acquisition
BURLINGTON/Samjen Acquisition,CASE,Kram
BURLINGTON COAT/Sale 285.9,FACTORY,bcf
BURM.L/reuterm,Bahama,burmah
BURNDY CORP/bdc,00210101,oct
BURNHAM AMERICAN/BAPYZ.O,PROPOERTIES,ND
BURNHAM SERVICE/BSCO.O,00360101,00450101
BURRBROWN CORP/BBRC.O,Sale,00130101
BUSH INDUSTRIES/bsh,Bush Industries,threefortwo
BUSL.O/Millard,Although the,Levi
BUY/Wine,SDWK.L,EMPA.TO
BUY INT'L/PROTEIN,PRO,Beach Sales
BUY LONRHO/PROPOSES,Park,Metropol
BUYER/FREEDOM FEDERAL,SEEKS,Freedom Federal
BUYOUT/CDS,brokerage,deRos
BUYS/ORION BROADCAST,OBGI.O,Servic Inc
BUYS CONTROL/cycare,cad,CYCR.O
BUYS EATON/Aurora,FCBN,ETN
BUYS SOME/emh,RTE,emhart
BV/Mafina,Elektrik,Lorenz Finanz
BWTR.L/Packag,Bowat Industries,Bowat
Ba-/N.V. convertible,Burlington Industries,note The
Baa-/Avco Financial,Avco,profil
Bach/Eckenfeld,axp,TAKEOVER SPECULATION
Bach Securities/outrag,Waseda,Postal
Backlog/TRINOVA CORP,ELMG.O,hph
Bae/Concepcion,U.S Commerce,Ho
Baer/Dave,Indosuez,remedy?
Baghdad/alQassem,offens,Rakhsh
Bahama/reuterm,lng,Burmah
Bahia/temporao,Constitucion,Blanca
Bahrain/CDI,spotnext,Hoffman
Bahrain in/NUDY.O,ND Resources,Atoka
Bahrainbased/bahrain,spotnext,daytoday
Bai/ninecounty,Tandem,20000101
Baie/technolgi,prebak,Alcan Aluminium
Bake Corp>/Schwartz,baking,Spiegler
Baker/U.S Treasury,Bundesbnak,worse.
Baker He/unpublish,text,declines
Baker and/itinerary,U.S TREASURY'S,Stoltenberg and
Baker met/itinerary,Bundesbnak,Stoltenberg and
Baker that/boil,plunged,Accord.
Baker weekend/worse.,vibrant,tarnish
Baker wishes,/battle...But,Reid,Genossenschaftbank
Bakeri/Braun,OVERSUBSCRIBED,BAKERIESIBCBID
Bakr/Saudi oil,Yamani,Petromin Jamal
Balanc/crippl,balances,Estimat
Balao/-km,resume,tremor
Baldrig/Governor David,U.S Commerce,Pressur
Baldrig will/Concepcion,U.S Commerce,Ho
Baldwin/Ltd <DMP.MO>,packages,debtrefinancing
Bales/Mln,XBased on,Milled
Balfour Maclaine/Kai Corp,specialty,fasten
Ball/Verac,Diegobased,verac
Ball Corp/Ball,Verac,Diegobased
Balladur/Outgo,wrongli,flotations
Baltek Corp/ecuadorian,baltek,BTEK.O
Baltimore/NCNB,NCNB Corp,CentraBank
Baltimorebased/NCNB,NCNB Corp,CentraBank
Baluch/APP,poroduct,Food and
Balzac/Balzec,balzac,charger
Balzec/Balzac,balzac,charger
Banc/BANC,PROFESSOR LIFTS,Ben
Banc One/Bloomington,indiana,BANC ONE
BancTEXAS/Watson,banctexas,Gene
BancTEXAS Group/Watson,banctexas,BancTEXAS
Banca/vastli,unrecover,scratch
Banca Commerciale/commerciale,Lynch International,colead
Banco/February public,Yaound,report.
Bancorp/Coloni to,MIDLANTIC CORP,BFCS.O
Bancorp Inc)/Bancorp shares.,Woodstock,WOODSTOCK
Bancorp Inc>/Memphisbased,Cookevil,CBC
Bancorp shares./Woodstock,WOODSTOCK,Woodstock is
Bancorpor/Priorperiod,Rainier,poolingofinterest
Bancshar/Keyston,stb,Popular
Bandar/silkworms,Abba,fallout
Bangemann/endangered.,minority.,Econom Minister
Bangkok/FMC Corp,Peroxid,IndoThai Synthetics
Bangladesh/unloads,laden,essential
Bangladesh Petroleum/Kero,Speed,Jet Kero,
Bank/Hurt,February public,cci
Bank Board/caprici,jurisdict,Barnett Banks
Bank Building/bb,edt,COURT UPHOLDS
Bank Mees/Nederland,Algemen,hague
Bank Nassau/Hambro,Toronto Dominion,dominion
Bank President/Anzola,separatist,DIFFERENTIALS TOO
Bank and/Coloni BancGroup,Hartselle,Ala.
Bank of/Ltds,World debt,U.S Frustration
Bank role/preval,differently,peasent
Bank said/awful,Apparent,Sungari
BankAmerica/fighting,G- SEEN,U.S and
BankIMF/optimism,Koehler and,superseded
BankLevelland/bancshares,txa,thereaft Once
BankNorth/MIDL.O,midlantic,Co a
Banken/Acquir,SEBS.ST,-room
Banker/recessionhit,Bundesbank council,,dissension
Banker Security/Account,YIELD RISES,DEPOSITS
Banker Trust/overdue,Assume,rollov
Bankruptci/capacity.,chapter,TEXACO
Banks/memorandum,Cebu,Masbat
Banner/USGMorocco,Great Lakes,Algeria at
Banqu/Morgan Guaranty,Indosuez,Vilhena
Banqu Indosuez/unspecified,syndication,construction
Banque/Serr,Small,bimp
Banquier/Coesfeld West,Kommanditgesellschaft,Schallplattentruh
Baong/IIA-,IA-,finds
Baqeri/summon,Suleiman,Foreign Ministry
Barakat/Overproduct,Saudis,Co But
Barbado/Caricom,Capitalis,interregion
Barbara/computor,sense.,copyrights
Barber/preval,throe,peasent
Barber Conable/separatist,Financ said.,batter
Barclai/Paterno,Valor,China Light
Barco/Donner,Donner and,brc
Bare/Euar,Baring,baring
Bare Capital/Euar,Baring,baring
Barend/incomes,minibudget,overshot
Baring/Bare Capital,Euar,baring
Barlei/TotalY,1.,mediumshort
Barnei/Albani,CECOS,whatsoever
Barnett/Pinella,caprici,Bank Board
Barnett Banks/caprici,Bank Board,jurisdict
Barney/Maybe,forestalled,Saudis
Barri/Hallamor,Media General,Bryant
Barring/nut,tracomin,highpriced
Barschel/SchleswigHolstein,Bundesbank council,,CDU
Barwon/Reuter Ramon,anheuserbusch,Melbournebased
Base/Embassy,MCDONNELL DOUGLAS,Wyly
Based/needed.,gentli,ordinarili
Bashaw/Erskine,erskine,CANADIAN BASHAW,
Basin/TexasOklahoma,Zolling,Iagifu
Basin Development/Signet,T.E.A.M.,30,
Basis/Mln,Bales,Milled
Basle/Indosuez,remedy?,Schwietert
Basra/price Last,alQassem,offens
Bass/DR,megalitr,DISTILLERS
Bass family/DR,CUTS NATIONAL,DISTILLERS
Bass of/bhw,bass,Howel
Bastia/MULLING,NAS,Nasta
Bastian/NAS,MULLING,Nasta
Bastian Technologies/NAS,MULLING,Nasta
Batignol/spie,Comstock,SCHN.PA
Batignolles/spie,Comstock,SCHN.PA
Batignolles a/spie,Comstock,SCHN.PA
Batiment/Serr,Small,bimp
Batliwala/NTPC,nonconvertible,R P.
Bavadra/Watersid,Nadi,overthrown
Baxter/Carmark,Newport,VOTE
Baxter Travenol/Carmark,Newport,VOTE
Bayliss/unavoidable,soundli,relianc
Bazoli/ambrosiano,Nuovo,Gemina
Beach/Detect,Northtown,Cartel Security
Beach Sales/PROTEIN,PRO,Plc In
Bear/FEDERATED,Hertz,Stearn Cos
Bear Acquisition/ordnanc,mpb,N.H.
Beard/announcment,inadequate.,Shelton
Beaufort/Biloxi,Borden said,Rohm
Beaver/SALE OF,CYL,CYCLOPS
Becaus/Jenrette,temper,utility
Because/Rigaud,Laidoff,TEXACO
Beckman/Gilgor,SmithKlin,tissu
Becor/PLANS OFFER,LGL,BCW
Becor Western/bcwagain,davis,adjourn The
Beef/sauce,ketchup,Feedgrain
Beet/harvested,Sugar It,catchment
Befor/battle...But,Septemb from,Baker wishes,
Behind/World debt,U.S Frustration,squabbl
Beij/Airlin System>'s,Skanska,Chines capital.
Beij Non-Ferrous/Metal Industrial,BeijingSantiago,Wednesbury
Beij in/Airlin System>'s,Skanska,Chines capital.
BeijingSantiago/Metal Industrial,Wednesbury,SinoChilean
Beira/Protract,hierarchy,landlock
Beirut/religi,chaotic,Lebanon Bankers
Belcher/Cadwalad,anititrust,apex
Belga/trickl,electrician,Sabena
Belgelectr Finance/Ebe,Intercom,Unerg
Belgian/lacklustre,scarc,PETB.BR
Belgian National/ample,certificate,belgium
Belgiqu/Paues President,BELB.BR,Boart
Belgium/slows,Czechoslovakia,externally
Belgium in/Paues President,BELB.BR,Boart
Belgrad/observed,Spotti,winterkil
Bell/Entry,returning,shallow
Bell Atlantic/midsiezed,tiecommunications,tie
Bell Group/Bell previously,BLLA.S,STCH.L
Bell previously/BLLA.S,onesentence,STCH.L
Bellmon/injuri,Washita,nearrecord
Belmont/Sammon,Yan,aar
Belo/KOAAM,Jacor Communications,Jacor
Beloit/Syscon,Syscom,hph
Belt/earlydeveloped,thudershow,pollin
Belzberg/buiness,Eliot,Laurenc
Ben/Diversifi,BANC,Atwood
Benedetti/FIVEYEAR,Turin,MLN SFR
Benel Distributors/DiscoMat,Asylum,Ltd which
Benigno/BANK CAN,expropri,donors
Bennett/Lousiana,U.S.SENATE LIFTS,powerpl
Bensenville/withheld,Holleb,Kraft Inc
Benson/scratch,Sogo,Singer
Benton/Sammon,Yan,Belmont
Bentsen/worse.,longplanned,Street collapse,
Berg/berg,Florida that,Harmon
Bergen/semisubmers,Norge,Kvaerner
BergenRichards/exercised,coda,StepSaver
Bergung/SmitTak,Smit,Pavo
Berisford/BRFD.L,S.And W.,berisford
Berkei/warner,BKY,PCT BERKEY
Berkei Series/warner,BKY,PCT BERKEY
Berlin/favourable.,lacklustre,Schmahl
Berlin Bank/Pariba,Banqu,Berlin
Berlingsk/Copenhagen,Uffe,pigmeat
Bermuda/agent The,rothschild,revolving
Bermudabased/EXPRESSOEH,MDWY.O,Commiss they
Bernard/Cascad,Gre from,perfumes
Bernardino/califora,Snow,ski
Berni/fines,relabel,tete
Bernstein/retreated,profit After,peaked
Beryl/Rainer,faltering,Sprinkel the
Beshir/Saudi oil,pounds,Bakr
Best/Pleasanton,Center in,CAL FED
Bethesda/Hospit Reagan's,Naval,wife
Bethlehem/Bradford,runup,IAD
Bethlehem Steel/flatrolled,minin,automobiles
Bethmann/Bundesbank council,,CDU,adequately
Better/honeywell,Edson,Sperri Aerospace
Between/March 9,,partners,,19001101
Beutel/Heat,River recedes.,Texa Sour
Beverag/faygo,Shasta,beverages
Beverag Corp>/Natur Beverages,Shasta,beverages
Beverages/Nation Beverage,,Shasta,Spree
Beverli/Microsemi,microsemi,inc>
Bevi Industries/Greenvil,March 18,,studi On
Beyond/leadmanage,stalls,misalloc
Bhd/darby,Nominees,Darbi
Bi/resumes,Dalian,corp's
Bickner/Term were,heinold,Heinold Hog
Bicol/Dominguez,unmilled,palai
Bidtek/CONVERGENT INC,REv,CVGT.O
Bild/U.S.European,disastr,Helmut Geiger,
Bildner/dlrsl,JBIL.O,Son
Bilizerian/agrreement,Cheadle,nominal.
Bill/projections,Hous Armed,Englebright
Biloxi/Borden said,Rohm,Bouillon
Bilzerian/PNP,agrreement,Cheadle
Bingham/Kennecott,Comex,tailgat
Biotech/scaleup,CALIFORNIA BIOTECH,CBIO
Bir/quaotiti,oilfil,Technoexport
Birdcage/PROPOSES,BUY LONRHO,Park
Birmingham/excessively,conjunctur,LeighPemberton
Birr/agrreement,Cheadle,nominal.
Bit/Paues President,BELB.BR,Boart
Bjoern/Citibank A/S,CMB.N,susbidiari
Bjorn/Caico,son,Carlson
Black/todai The,reader,paying
Blah/BILLS AT,FED BUYING,STOP
Blair/Nova Corp,said Nova,management.
Blampi/equals.,Cent Savings,Spiller
Blampied/equals.,Cent Savings,Spiller
Blanca/Aires,Constitucion,Necochea and
Blanca increased/Blanca,Aires,Constitucion
Blanket/opium,husk,RBI
Blasiu/BLAS.O,blasius,Fidel International
Blaylock/safer,Commun Nutrition,Institut "Company
Bloc/soars,appetit,Feket
Block/Colvil,daili The,Qa
Block Q5c./Louisiana Land,LA LAND,Qa
Bloomington/Banc One,indiana,BANC ONE
Blue/Biloxi,Rohm,Arrow
Blue Arrow/consultants,Yorkbased executive,Arrow
Bluegrass Broadcasting/Kentucki Central,Fla. radio,FCC
Bminus/CCCplus from,ram,lowered
Boak/Entry,subdu,plummet
Boakes/Gilt,pointed,subdu
Board/Condon,gln,scratch
Board Governor/Yen,absorpt,gotten
Board ONIC,/Soft,Maghreb,endofseason
Board Vice/healthy,feds,johnson
Board Vice-Chairman/unfound,quickfix,problems.
Boart/Paues President,BELB.BR,finalise
Bob/illustr,said Nova,eyes
Bodi Shop/Mich,Chrysler Corp's,Motech Auto
Boe/jam,ba,BA
Boe Co/jam,ba,Sunnyvale
Boeski/Coopervis chairman,Conference,Parker
Boesky/Evanston Ill.,,gyrat,mushroom
Bogota/objective,quota Rosenbaum,UNCERTAINU.S
Bohai/Jolli,China that,managers
Boksburg/accident,ï¿½,Proprietari
Boliden/Goran,Ronnskar,Paulson
Boliden AB/Goran,Ronnskar,Paulson
Boliden Ronnskar/Goran,Ronnskar,Paulson
Bolivia/bolivia,development,Both
Bombai/NTPC,nonconvertible,R P.
Bombay/Natur Gas,spud,bombay
Bond/Reuter Ramon,scof,04300101
Bond Corp/scaleddown,pete,Maritim Corp>
Bonn/Bundesbnak,worse.,externally
Bonn in/talking,golf,Social Democrat
Bonnbased/TAW,W.GERMAN COCOA,Confectioneri
Bonni/revived,probably,alongsid
Bonwit/Ark. and,Heers,Texa and
Bonyong/Pressur,won.,currencybased
Booklyn/NCNG,unwit,PNY
Booth Financial/Robert Half,R.I Boothe,Providence
Bophuthatswana/Matthei,objects,jointsubsidiary
Borax/Pillar,Rio Tinto-Zinc,02570101
Borc Financial/Union Planters,Hohenwald and,UNION PLANTERS
Borden/Biloxi,Rohm,Polyco
Borden Inc/Biloxi,Borden said,Rohm
Borden said/Biloxi,Rohm,Bouillon
Borg/Armen,Chemical,illadvised
BorgWarner/guards,Burke,comment GAF
BorgWarner because/heck,Rose said,,nonchemical
Borgwarner/borgwarnerbor,Merril is,familiar
Bori/talyzin,intertwin,outline
Borrow/May compared,holdov,Float
Borrowers/nib,guinea,retrospect
Boss/Linar,physicals,balanced
Boston/comment GAF,Gillette,AV
Boston Corp/endoffiscalyear,responding,hiccup
Boston Five/equals.,Cent Savings,Spiller
Boston Ltd/elektrik,Standard Elektrik,Elektrik
Bostonbased/EXPRESSOEH,Commiss they,MDWY.O
Botchwei/harvest.,todai Secretary,GHANA LIFTS
Both/aray,Istyle,nonagricultural
Both the/World debt,U.S Frustration,squabbl
Botswana/jeopardy,Zimbabwean,Matabeleland
Bottlers/PepsiCola,IC,Mida
Bottom/Fearless,chinese,Cypru
Bouillon/Biloxi,Borden said,Rohm
Bours/FRENCH STATE,pitch,Ministri said.
Bourse/Astra was,aids,Acquir
Boveri/BBC AG,Realistically,Leutwiler
Bowat/Packag,BWTR.L,bowater
Bowat Industries/Bowat,BWTR.L,bowater
Bowl/TAKE CHARGE,,recentlyopened,hotelcasino
Bplus/Caesar World,STAYS ON,BB
Bra/Gill,Precipit,Deni
Brace/Investment Canada,Carpent,U.S publishing
Bradford/runup,IAD,Clarenc
Bradle Discount/bradlees,Shop Cos,shops
Braga/Livre,shaken,Lisbon
Bramal/Gelco,bramall,C.D
Bran/linse,Sunflowerse,expel
Branch/BANC,Banc,Hambro
Brand/sometime,presidents,Co American
Brand Companies/BRAND COMPANIES,bran,Brand
Brandt/Bonn in,talking,golf
Branko/worsened,ty,Yugoslav
Brasil/Yaound,unlike,Salek
Brasilia/Sul,registraion,Reuter IBC
Brass/Diversifi,DIVERSIFIED INDUSTRIES,Atwood
Braun/Bakeri,OVERSUBSCRIBED,BAKERIESIBCBID
Brazil/droughtinduced,mind.,SEE
Brazil September/salek,semimanufactur,Septemb last
Brazil withdrawing/IMC,-kilo,leave
Brazilian/Embassy,EXPENSES,preston,
Brazilian Coffee/registraion,Reuter IBC,dauster
